EmployeeId,Age,Gender,MaritalStatus,Turnover,Department,Role,RoleGrade,QualificationsHeld,YearsWorkExperience,EducationField,EmployeeSatisfactionScore,JobEngagementScore,JobSatisfactionScore,PreviousManagerRelationshipSatisfactionScore,ManagerRelationshipSatisfactionScore,Traveling,RegularOvertime,PercentSalaryHike,ContractHours,SharesOptionLevel,TrainingTimesLastYear,WorkLifeBalanceScore,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,DistanceFromHome
1,46,F,Divorced,No,Research & Development,Manager,3,3,0,Medical,1,3,1,3,3,No,No,14,37.5,0,3,4,25,16,13,4
2,35,M,Divorced,No,Research & Development,Manufacturing Director,2,4,2,Life Sciences,4,3,2,4,3,Mostly,Yes,16,37.5,1,2,3,7,1,1,10
3,29,M,Single,No,Sales,Sales Representative,1,3,2,Life Sciences,3,2,2,4,4,Sometimes,No,21,37.5,0,2,1,3,1,2,2
4,26,M,Divorced,No,Sales,Sales Representative,1,3,7,Life Sciences,2,2,1,3,3,Sometimes,No,19,37.5,1,3,3,4,1,1,1
5,41,F,Single,No,Research & Development,Healthcare Representative,2,2,1,Life Sciences,1,3,4,2,3,Sometimes,No,14,37.5,0,3,3,10,7,7,2
6,31,F,Married,No,Human Resources,Human Resources,2,4,1,Life Sciences,4,4,1,2,3,Mostly,No,17,37.5,1,3,4,7,7,7,15
7,31,M,Single,No,Research & Development,Research Director,3,4,5,Life Sciences,4,3,3,2,3,No,No,12,37.5,0,2,3,2,2,2,21
8,30,M,Married,No,Research & Development,Laboratory Technician,1,1,9,Medical,4,3,4,3,3,Sometimes,No,14,37.5,1,2,2,4,2,2,1
9,27,M,Married,No,Research & Development,Research Scientist,1,4,1,Medical,1,3,4,4,3,Sometimes,No,14,37.5,3,6,2,6,2,2,6
10,50,M,Divorced,No,Sales,Manager,4,3,0,Life Sciences,1,3,2,1,4,Sometimes,No,23,37.5,2,2,3,21,0,7,2
11,25,F,Divorced,No,Research & Development,Laboratory Technician,1,2,0,Life Sciences,1,2,4,3,3,No,No,11,37.5,2,2,3,3,2,2,12
12,19,M,Divorced,Yes,Research & Development,Laboratory Technician,1,3,0,Life Sciences,2,3,1,3,4,Mostly,No,22,37.5,1,6,2,3,2,3,2
13,50,M,Married,No,Research & Development,Research Scientist,4,2,2,Medical,1,3,2,3,3,Sometimes,Yes,16,37.5,3,4,3,8,3,7,8
14,29,F,Single,No,Research & Development,Manufacturing Director,2,2,2,Life Sciences,4,3,4,4,3,Mostly,Yes,12,37.5,0,2,3,2,2,2,7
15,27,M,Divorced,Yes,Sales,Sales Executive,2,3,1,Technical Degree,3,3,3,2,3,Mostly,Yes,17,37.5,3,3,4,5,1,1,17
16,51,M,Single,No,Research & Development,Research Scientist,1,4,1,Other,4,3,3,4,3,Mostly,No,12,37.5,0,3,3,6,5,3,9
17,34,F,Married,No,Research & Development,Research Scientist,1,2,1,Life Sciences,3,2,3,4,3,No,No,18,37.5,0,2,3,1,1,1,1
18,57,M,Divorced,No,Sales,Sales Executive,3,4,1,Life Sciences,3,4,3,2,3,Sometimes,No,12,37.5,2,3,1,23,2,9,8
19,38,F,Single,Yes,Sales,Sales Executive,2,4,2,Marketing,4,3,1,1,3,No,Yes,14,37.5,0,3,3,9,7,7,19
20,41,F,Divorced,No,Sales,Manager,4,4,4,Marketing,3,3,2,4,3,Sometimes,No,11,37.5,1,6,4,9,5,5,2
21,40,M,Divorced,No,Research & Development,Research Director,5,4,7,Medical,2,3,3,2,3,Mostly,Yes,13,37.5,1,1,2,20,5,6,9
22,41,M,Divorced,No,Research & Development,Research Scientist,1,3,4,Medical,4,3,2,1,3,Sometimes,No,19,37.5,1,5,3,4,0,2,2
23,21,M,Divorced,No,Research & Development,Laboratory Technician,1,1,1,Medical,4,3,4,3,3,Mostly,No,12,37.5,1,2,2,8,7,8,11
24,55,M,Married,No,Research & Development,Manufacturing Director,2,3,1,Life Sciences,2,3,2,2,4,Mostly,No,24,37.5,0,3,3,20,8,8,1
25,44,M,Married,No,Research & Development,Laboratory Technician,1,1,3,Life Sciences,4,3,4,2,3,Sometimes,No,14,37.5,1,3,3,4,2,2,1
26,58,M,Divorced,No,Research & Development,Research Director,5,3,1,Medical,2,3,4,2,3,Sometimes,Yes,13,37.5,1,2,3,33,8,7,22
27,41,F,Single,No,Human Resources,Manager,5,3,6,Technical Degree,1,3,4,2,3,Sometimes,No,14,37.5,0,3,4,4,1,4,9
28,36,F,Married,Yes,Research & Development,Research Scientist,1,3,1,Life Sciences,4,3,1,3,4,Sometimes,No,21,37.5,1,3,2,15,4,3,9
29,34,F,Married,No,Research & Development,Laboratory Technician,2,3,1,Medical,3,3,1,2,3,Mostly,No,13,37.5,1,2,4,10,7,7,11
30,34,M,Divorced,No,Research & Development,Manufacturing Director,2,2,2,Life Sciences,3,2,4,3,4,No,No,23,37.5,1,1,3,4,2,3,1
31,35,M,Divorced,No,Research & Development,Manufacturing Director,2,4,0,Life Sciences,3,3,1,4,3,Sometimes,No,17,37.5,2,2,3,10,9,10,7
32,44,F,Divorced,No,Research & Development,Laboratory Technician,1,4,6,Life Sciences,1,3,2,2,3,Mostly,No,13,37.5,1,4,3,4,4,3,9
33,40,M,Single,No,Research & Development,Healthcare Representative,3,4,1,Marketing,3,1,3,3,3,Mostly,No,11,37.5,0,3,3,15,13,6,18
34,30,M,Divorced,No,Research & Development,Manufacturing Director,3,4,5,Medical,3,3,3,2,3,Sometimes,No,16,37.5,3,5,3,10,6,9,12
35,44,M,Married,Yes,Research & Development,Healthcare Representative,2,2,1,Medical,1,2,3,3,3,Sometimes,No,15,37.5,0,2,2,10,8,9,18
36,39,M,Single,Yes,Research & Development,Research Scientist,1,4,6,Life Sciences,3,2,3,2,3,Mostly,No,16,37.5,0,2,3,4,2,2,13
37,41,M,Single,No,Research & Development,Research Director,3,4,5,Medical,3,2,1,1,4,Mostly,No,22,37.5,0,2,3,22,14,12,24
38,48,M,Married,No,Sales,Sales Executive,2,4,4,Technical Degree,1,4,4,3,3,Sometimes,No,16,37.5,1,3,1,3,1,2,1
39,48,F,Married,No,Research & Development,Research Scientist,1,4,1,Medical,4,3,3,4,3,Sometimes,Yes,11,37.5,1,4,2,2,2,2,1
40,25,M,Married,No,Research & Development,Research Scientist,1,1,1,Life Sciences,3,3,3,4,3,Sometimes,Yes,13,37.5,1,4,4,3,2,2,25
41,33,M,Married,Yes,Research & Development,Manufacturing Director,2,3,7,Medical,4,3,2,3,3,Sometimes,Yes,12,37.5,1,2,3,5,3,5,20
42,29,M,Divorced,No,Research & Development,Laboratory Technician,1,1,0,Medical,3,3,1,4,4,Sometimes,No,23,37.5,1,2,3,3,2,2,2
43,26,M,Married,No,Sales,Sales Representative,1,4,1,Life Sciences,3,3,2,3,4,Sometimes,No,25,37.5,1,3,1,3,3,2,1
44,29,F,Married,No,Research & Development,Manufacturing Director,2,4,2,Medical,4,2,3,4,3,Mostly,No,11,37.5,1,2,1,6,2,3,11
45,40,M,Divorced,No,Sales,Manager,4,3,2,Marketing,3,3,3,3,3,Sometimes,No,13,37.5,1,2,3,4,4,2,20
46,55,M,Divorced,No,Research & Development,Research Scientist,5,3,3,Medical,3,2,4,3,3,Sometimes,Yes,12,37.5,1,3,3,5,4,3,6
47,31,M,Married,No,Human Resources,Human Resources,1,1,1,Medical,2,3,4,3,3,Sometimes,No,13,37.5,1,5,2,6,2,2,1
48,35,M,Married,Yes,Research & Development,Research Scientist,1,2,1,Technical Degree,1,2,3,1,3,Sometimes,No,13,37.5,2,5,1,7,7,7,4
49,28,M,Married,No,Research & Development,Research Scientist,1,4,0,Technical Degree,1,1,4,3,4,Sometimes,No,21,37.5,3,3,2,3,2,2,8
50,29,F,Married,No,Sales,Sales Executive,2,1,1,Other,3,2,4,1,4,Mostly,Yes,23,37.5,1,2,3,6,3,4,22
51,45,F,Divorced,No,Research & Development,Research Scientist,1,4,2,Life Sciences,3,2,1,3,3,Mostly,No,12,37.5,1,5,3,3,1,2,4
52,30,F,Single,No,Sales,Sales Executive,2,5,0,Life Sciences,1,3,3,4,3,Sometimes,No,11,37.5,0,2,3,7,7,7,4
53,52,F,Married,No,Sales,Manager,5,4,2,Marketing,3,4,4,1,3,Sometimes,No,16,37.5,1,4,1,10,0,8,6
54,45,F,Single,No,Research & Development,Manufacturing Director,3,1,1,Life Sciences,3,2,4,2,4,Sometimes,No,21,37.5,0,6,3,15,14,13,2
55,30,M,Married,No,Research & Development,Laboratory Technician,1,3,7,Life Sciences,1,3,3,3,3,Sometimes,No,17,37.5,2,2,2,5,3,2,8
56,28,M,Single,No,Research & Development,Laboratory Technician,1,4,1,Medical,4,3,3,2,4,No,No,22,37.5,0,2,3,1,1,1,2
57,49,M,Married,No,Research & Development,Research Scientist,1,3,1,Other,3,4,3,3,3,Sometimes,No,14,37.5,2,5,2,5,3,2,5
58,30,M,Divorced,No,Research & Development,Research Scientist,1,2,1,Medical,2,2,2,4,3,Sometimes,No,18,37.5,1,4,4,2,2,2,2
59,26,M,Single,Yes,Human Resources,Sales Representative,1,3,1,Technical Degree,1,2,3,2,3,Mostly,Yes,14,37.5,0,2,3,2,2,2,7
60,36,M,Married,Yes,Human Resources,Human Resources,1,4,2,Marketing,2,3,3,4,3,Mostly,No,18,37.5,0,3,3,4,2,2,23
61,30,M,Single,Yes,Sales,Sales Representative,1,3,1,Marketing,3,2,1,3,3,Sometimes,No,13,37.5,0,0,3,3,2,2,14
62,29,F,Married,No,Sales,Sales Executive,2,1,7,Marketing,3,3,3,1,4,Sometimes,No,22,37.5,1,3,3,2,2,2,29
63,41,M,Single,Yes,Research & Development,Research Scientist,1,2,0,Life Sciences,3,2,4,4,3,No,Yes,13,37.5,0,2,3,5,3,4,7
64,39,M,Single,Yes,Research & Development,Laboratory Technician,1,3,1,Life Sciences,4,2,4,4,4,No,Yes,23,37.5,0,2,3,1,1,1,28
65,34,F,Divorced,No,Research & Development,Healthcare Representative,2,3,1,Life Sciences,3,2,3,4,3,Sometimes,Yes,19,37.5,1,3,3,11,5,3,18
66,53,M,Divorced,No,Sales,Manager,4,2,2,Medical,3,2,2,3,3,Mostly,No,13,37.5,1,3,1,5,4,3,6
67,31,M,Divorced,No,Research & Development,Research Scientist,1,3,4,Medical,1,3,2,4,3,Sometimes,No,14,37.5,1,4,3,4,2,2,9
68,42,M,Single,No,Research & Development,Research Scientist,1,3,1,Life Sciences,4,2,1,1,3,Mostly,No,13,37.5,0,3,3,8,3,3,7
69,30,M,Divorced,No,Research & Development,Manufacturing Director,2,4,1,Life Sciences,1,2,3,2,3,Mostly,No,11,37.5,1,3,3,13,11,4,15
